,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
197,0.05,1.0,0.4,0.4,4,0.26743649012253196,0.3442223792046006,13.25430784080385,75076.55228598471,20
198,0.05,1.0,0.4,0.4,6,0.3388696031424718,0.38274299061334777,14.091126295429612,76480.19360395039,20
199,0.05,1.0,0.4,0.4,8,0.34534264172765095,0.38717931197553396,14.27760365092539,76452.12339812337,20
200,0.05,1.0,0.6,0.05,1,0.21713256196137015,0.2817526379176553,11.114252746287608,43921.12989854335,20
201,0.05,1.0,0.6,0.05,2,0.21997231852951185,0.2835993805708214,11.179367853977997,43921.64067254017,20
202,0.05,1.0,0.6,0.05,4,0.2352983377361943,0.292147745172654,11.593489510394026,44062.187812271244,20
203,0.05,1.0,0.6,0.05,6,0.24839804916037983,0.3020267170949385,11.875062659796594,44230.09181136999,20
204,0.05,1.0,0.6,0.05,8,0.2509765319258275,0.30378863454854427,11.944188038595176,44225.007396454894,20
205,0.05,1.0,0.6,0.1,1,0.19012363470840687,0.2728162362871936,10.668047015785552,53583.115696460685,20
206,0.05,1.0,0.6,0.1,2,0.19305003985335825,0.27504330193909005,10.745538343817184,53594.695676387506,20
207,0.05,1.0,0.6,0.1,4,0.21145557857197014,0.28651905304883063,11.29979652114215,53832.07012485446,20
208,0.05,1.0,0.6,0.1,6,0.22652664482851656,0.2994014989944812,11.638998588299415,54388.68500422512,20
209,0.05,1.0,0.6,0.1,8,0.2289031875247827,0.3009186709011698,11.710295751058252,54346.9072187725,20
210,0.05,1.0,0.6,0.2,1,0.1562037914939256,0.25819776126794625,9.985165575493372,62777.24450079692,20
211,0.05,1.0,0.6,0.2,2,0.15851197935527758,0.2603507434509094,10.054995031645722,62791.59497727442,20
212,0.05,1.0,0.6,0.2,4,0.17524614667827612,0.27303051121441746,10.667029632254396,63162.697705540646,20
213,0.05,1.0,0.6,0.2,6,0.19475930095138239,0.2911497893169485,11.083048020562533,65306.88444327751,20
214,0.05,1.0,0.6,0.2,8,0.19624704453084243,0.2920206038290129,11.128302047377543,65132.90406836787,20
215,0.05,1.0,0.6,0.3,1,0.14150912621902997,0.25262099207184163,9.712233612457872,67893.71375455963,20
216,0.05,1.0,0.6,0.3,2,0.14322030981294356,0.25441496585239204,9.766383237165128,67888.25274260127,20
217,0.05,1.0,0.6,0.3,4,0.15529375966584705,0.26554246057620107,10.30731927192111,68469.29847286268,20
218,0.05,1.0,0.6,0.3,6,0.18713894440164605,0.29228367160894003,10.845479098556979,72852.08477441971,20
219,0.05,1.0,0.6,0.3,8,0.18821025542927736,0.29317699414882875,10.870794041228661,72496.0106578983,20
220,0.05,1.0,0.6,0.4,1,0.13597855902255354,0.2523868443346399,9.668055827645897,71665.26592401843,20
221,0.05,1.0,0.6,0.4,2,0.13727658247847482,0.2538847414742322,9.712049252293195,71650.46186389236,20
222,0.05,1.0,0.6,0.4,4,0.14483013744152143,0.2630030137887715,10.165691232832545,72599.89949584552,20
223,0.05,1.0,0.6,0.4,6,0.18748819772191014,0.29678186611230395,10.808716818778997,79271.46974923792,20
224,0.05,1.0,0.6,0.4,8,0.18848820791961426,0.29804597651914727,10.829397096862497,78816.15912472349,20
225,0.1,0.35,0.2,0.05,1,0.12961383789329892,0.22186865020697924,8.575111713802803,35136.10849040301,138
226,0.1,0.35,0.2,0.05,2,0.12973647098504604,0.22199977622820943,8.579240248678868,35133.44921756431,138
227,0.1,0.35,0.2,0.05,4,0.13015038865737658,0.22244790285011146,8.590859456512344,35137.151784371315,138
228,0.1,0.35,0.2,0.05,6,0.13088055412091268,0.22316133454063103,8.613505280586468,35082.63219801439,138
229,0.1,0.35,0.2,0.05,8,0.13209811235844204,0.224276893862593,8.639875774257714,35099.53742906744,138
230,0.1,0.35,0.2,0.1,1,0.09913562969172664,0.20030362509934316,7.7709502611682195,43930.52260697351,138
231,0.1,0.35,0.2,0.1,2,0.0991903486411852,0.20037021047169284,7.77265262633731,43929.785393737235,138
232,0.1,0.35,0.2,0.1,4,0.09940967730962447,0.20065234834825352,7.778972178425147,43931.64113953915,138
233,0.1,0.35,0.2,0.1,6,0.09950254305131016,0.20075896035471,7.783337972144534,43908.39779623927,138
234,0.1,0.35,0.2,0.1,8,0.10026014980771326,0.2014633650225079,7.795867748738823,43912.24518785504,138
235,0.1,0.35,0.2,0.2,1,0.08313410056867229,0.1914641055330564,7.490168060555684,55013.49797485391,138
236,0.1,0.35,0.2,0.2,2,0.08315338080049268,0.1914899166576078,7.490681605808058,55013.7770932952,138
237,0.1,0.35,0.2,0.2,4,0.0832380766975825,0.19164661326429724,7.493853755026138,55016.56994550514,138
238,0.1,0.35,0.2,0.2,6,0.08226235819272618,0.19068306388508705,7.477954117371876,55054.16245208074,138
239,0.1,0.35,0.2,0.2,8,0.08340373859889574,0.19177453435677883,7.489421918692536,55074.86842688495,138
240,0.1,0.35,0.2,0.3,1,0.07884524131827161,0.19196820362522354,7.5562515220411095,62595.209439207996,138
241,0.1,0.35,0.2,0.3,2,0.07883884874794757,0.19195477662748395,7.55567063748301,62597.81643093826,138
242,0.1,0.35,0.2,0.3,4,0.07886681719378556,0.19207920183913318,7.557743421596063,62607.501913787004,138
243,0.1,0.35,0.2,0.3,6,0.07632014112202663,0.1893849228942925,7.5136784530302325,62699.53003779954,138
244,0.1,0.35,0.2,0.3,8,0.07851262789731421,0.19170235561777912,7.534440539108309,62743.910587867686,138
245,0.1,0.35,0.2,0.4,1,0.07777007409111544,0.19484245840888192,7.70449498564358,68467.47116930239,138
246,0.1,0.35,0.2,0.4,2,0.07770880818556089,0.19476147782716574,7.702141723236292,68476.2105115379,138
247,0.1,0.35,0.2,0.4,4,0.0777192162118299,0.19491952747484784,7.7041143303204604,68499.60869792478,138
248,0.1,0.35,0.2,0.4,6,0.07386690531609594,0.19065441742543546,7.632734408576137,68685.5524732066,138
249,0.1,0.35,0.2,0.4,8,0.07670431182766949,0.19395377257104843,7.657006847727016,68732.06944364803,138
250,0.1,0.35,0.4,0.05,1,0.1228927814474138,0.21530249672656077,8.345982254142598,35401.18519940686,138
251,0.1,0.35,0.4,0.05,2,0.12305509168412296,0.21546370775345275,8.349651730993381,35402.181141165405,138
252,0.1,0.35,0.4,0.05,4,0.1234719984775678,0.21589834667527244,8.359242378313727,35408.43664852166,138
253,0.1,0.35,0.4,0.05,6,0.12405783887309961,0.21641875974226055,8.373158880828804,35403.11344837053,138
254,0.1,0.35,0.4,0.05,8,0.12459868774766451,0.21692694659634765,8.384484739830457,35411.84666887609,138
255,0.1,0.35,0.4,0.1,1,0.09750735710887039,0.19851601306987224,7.717437879507659,44041.76537998322,138
256,0.1,0.35,0.4,0.1,2,0.09762252956560374,0.19864193018597945,7.720055778391676,44041.96795452476,138
257,0.1,0.35,0.4,0.1,4,0.09791586967694778,0.19898424056867442,7.727219252799898,44046.68884535869,138
258,0.1,0.35,0.4,0.1,6,0.09826826102396184,0.19931857007546835,7.735304003201987,44036.488911566776,138
259,0.1,0.35,0.4,0.1,8,0.09864190003945797,0.19969107492091173,7.742749375929253,44042.19178540211,138
260,0.1,0.35,0.4,0.2,1,0.08273781467678314,0.19101164229591683,7.480699806945796,55042.29736956196,138
261,0.1,0.35,0.4,0.2,2,0.08281653481179226,0.19110212939937474,7.482378380957851,55042.23009325502,138
262,0.1,0.35,0.4,0.2,4,0.08300692024084148,0.19134447907156044,7.487171862791258,55045.31653611419,138
263,0.1,0.35,0.4,0.2,6,0.0831697896126883,0.19150020656848182,7.490499007615886,55035.033935489395,138
