,eta,epsilon,mu,K,TMSE,CB,tradeOff
194,0.2,0.5,0.3,8,0.7183833899686881,28,0.7184174935111924
195,0.2,0.5,0.4,1,0.29078652227083396,19,0.2908253153258262
196,0.2,0.5,0.4,2,0.2527396831181871,8,0.2527475962747849
197,0.2,0.5,0.4,4,0.40399603416298013,14,0.40401119491842774
198,0.2,0.5,0.4,6,0.021544116864058688,24,0.02236401062985389
199,0.2,0.5,0.4,8,0.05694379045686637,18,0.05712132063945568
200,0.2,1.0,0.05,1,0.45895379727736213,5,0.4589554995152689
201,0.2,1.0,0.05,2,0.46971928298818527,5,0.4697209462126794
202,0.2,1.0,0.05,4,0.48857044285906864,5,0.48857204190938563
203,0.2,1.0,0.05,6,0.4738760730630105,5,0.4738777216979288
204,0.2,1.0,0.05,8,0.4738760730630105,5,0.4738777216979288
205,0.2,1.0,0.1,1,0.45055098487780937,5,0.45055271886247006
206,0.2,1.0,0.1,2,0.46565295989282424,5,0.46565463764140497
207,0.2,1.0,0.1,4,0.5036388628879989,5,0.5036404140963238
208,0.2,1.0,0.1,6,0.4738760730630105,5,0.4738777216979288
209,0.2,1.0,0.1,8,0.4738760730630105,5,0.4738777216979288
210,0.2,1.0,0.2,1,0.48098633399812035,5,0.48098795826190016
211,0.2,1.0,0.2,2,0.3095139230798158,6,0.309517557789955
212,0.2,1.0,0.2,4,0.5343822729484438,5,0.5343837349148504
213,0.2,1.0,0.2,6,0.4738760730630105,5,0.4738777216979288
214,0.2,1.0,0.2,8,0.4738760730630105,5,0.4738777216979288
215,0.2,1.0,0.3,1,0.5567879916827214,5,0.5567893948182546
216,0.2,1.0,0.3,2,0.21760280307752675,6,0.21760797298627843
217,0.2,1.0,0.3,4,0.019585904289325468,8,0.019687753727396576
218,0.2,1.0,0.3,6,0.4738760730630105,5,0.4738777216979288
219,0.2,1.0,0.3,8,0.4738760730630105,5,0.4738777216979288
220,0.2,1.0,0.4,1,0.31852022385514467,5,0.3185226765941971
221,0.2,1.0,0.4,2,0.5041699904996435,6,0.5041722218849534
222,0.2,1.0,0.4,4,0.02406035356811907,8,0.02414333477013687
223,0.2,1.0,0.4,6,0.4738760730630105,5,0.4738777216979288
224,0.2,1.0,0.4,8,0.4738760730630105,5,0.4738777216979288
